Species,Station,Date,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger
Baboon,NPR1,15-Apr-18,15:29:08,Dark,FALSE,Shade,TRUE,TRUE,28,FALSE
Baboon,NPR1,17-Apr-18,7:01:15,Dark,FALSE,Dark,TRUE,TRUE,20,FALSE
Baboon,NPR1,20-Apr-18,7:36:39,Ok,FALSE,Shade,TRUE,TRUE,7,FALSE
Baboon,NPR1,21-Apr-18,8:45:43,Ok,FALSE,Shade,TRUE,TRUE,10,FALSE
Eland,NPR1,22-Apr-18,6:16:17,Dark,FALSE,Dark,TRUE,TRUE,7,FALSE
Jackal,NPR1,25-Apr-18,10:57:44,Ok,FALSE,Sunny,TRUE,TRUE,20,FALSE
Baboon,NPR1,26-Apr-18,15:23:28,Dark,FALSE,Shade,TRUE,TRUE,21,FALSE
Baboon,NPR1,27-Apr-18,15:44:50,Ok,FALSE,Shade,TRUE,TRUE,27,FALSE
Baboon,NPR1,27-Apr-18,17:38:59,Ok,FALSE,Shade,TRUE,TRUE,21,FALSE
Baboon,NPR1,29-Apr-18,12:33:38,Ok,FALSE,Shade,TRUE,TRUE,22,FALSE
Baboon,NPR1,05-May-18,10:25:33,Ok,FALSE,Sunny,TRUE,TRUE,23,FALSE
Baboon,NPR1,05-May-18,16:01:35,Ok,FALSE,Shade,TRUE,TRUE,31,FALSE
Baboon,NPR1,07-May-18,17:06:34,Ok,FALSE,Shade,TRUE,TRUE,26,FALSE
Eland,NPR1,08-May-18,23:15:27,Dark,FALSE,Dark,TRUE,TRUE,15,FALSE
Jackal,NPR1,08-May-18,6:09:41,Dark,FALSE,Dark,TRUE,TRUE,15,FALSE
Baboon,NPR1,11-May-18,8:17:16,Ok,FALSE,Shade,TRUE,TRUE,8,FALSE
Kudu,NPR1,11-May-18,17:33:31,Ok,FALSE,Shade,TRUE,TRUE,17,FALSE
Baboon,NPR1,12-May-18,7:22:09,Dark,FALSE,Dark,TRUE,TRUE,10,FALSE
Eland,NPR1,16-May-18,5:45:51,Dark,FALSE,Dark,TRUE,TRUE,10,FALSE
Baboon,NPR1,18-May-18,7:21:21,Dark,FALSE,Dark,TRUE,TRUE,6,FALSE
Baboon,NPR1,20-May-18,17:54:45,Dark,FALSE,Dark,TRUE,TRUE,16,FALSE
